"X_COORD","Y_COORD","HABITAT"
345000,261000,1
346000,261000,1
347000,261000,1
348000,261000,1
349000,261000,1
350000,261000,1
351000,261000,1
352000,261000,1
353000,261000,1
306000,262000,0
307000,262000,0
308000,262000,0
309000,262000,0
310000,262000,0
311000,262000,0
312000,262000,0
313000,262000,0
314000,262000,0
315000,262000,0
316000,262000,0
317000,262000,0
318000,262000,0
319000,262000,0
320000,262000,0
321000,262000,0
322000,262000,0
323000,262000,0
324000,262000,0
325000,262000,0
326000,262000,0
327000,262000,0
328000,262000,0
329000,262000,0
330000,262000,0
331000,262000,1
332000,262000,1
333000,262000,1
334000,262000,1
335000,262000,1
336000,262000,1
337000,262000,1
338000,262000,1
339000,262000,1
340000,262000,1
341000,262000,1
342000,262000,1
343000,262000,1
344000,262000,1
345000,262000,1
346000,262000,1
347000,262000,1
348000,262000,1
349000,262000,1
350000,262000,1
351000,262000,1
352000,262000,1
353000,262000,1
307000,263000,0
308000,263000,0
309000,263000,0
310000,263000,0
311000,263000,0
312000,263000,0
313000,263000,0
314000,263000,0
315000,263000,0
316000,263000,0
317000,263000,0
318000,263000,0
319000,263000,0
320000,263000,0
321000,263000,0
322000,263000,0
323000,263000,0
324000,263000,0
325000,263000,0
326000,263000,0
327000,263000,0
328000,263000,0
329000,263000,0
330000,263000,0
331000,263000,0
332000,263000,1
333000,263000,1
334000,263000,1
335000,263000,1
336000,263000,1
337000,263000,1
338000,263000,1
339000,263000,1
340000,263000,1
341000,263000,1
342000,263000,1
343000,263000,1
344000,263000,1
345000,263000,1
346000,263000,1
347000,263000,1
348000,263000,1
349000,263000,1
350000,263000,1
351000,263000,1
352000,263000,1
353000,263000,1
307000,264000,0
308000,264000,0
309000,264000,0
310000,264000,0
311000,264000,0
312000,264000,0
313000,264000,0
314000,264000,0
315000,264000,0
316000,264000,0
317000,264000,0
318000,264000,0
319000,264000,0
320000,264000,0
321000,264000,0
322000,264000,0
323000,264000,0
324000,264000,0
325000,264000,0
326000,264000,0
327000,264000,0
328000,264000,0
329000,264000,0
330000,264000,0
331000,264000,1
332000,264000,1
333000,264000,1
334000,264000,1
335000,264000,1
336000,264000,1
337000,264000,1
338000,264000,1
339000,264000,1
340000,264000,1
341000,264000,1
342000,264000,1
343000,264000,1
344000,264000,1
345000,264000,1
346000,264000,1
347000,264000,1
348000,264000,1
349000,264000,1
350000,264000,1
351000,264000,1
352000,264000,1
353000,264000,1
308000,265000,0
